Id,Name,Specialization,Appointment1,Appointment2,Appointment3,Appointment4,Appointment5,Appointment6,Appointment7,Password
61230001,Dr. Mohit Urkunde,Psychiatrist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230002,Dr.Aditya,Cardiology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230003,Dr.Amol Fegade,Orthopedic,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230004,Dr.Kartik Shinde,Obtretrics  and Gynecology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230005,Dr.Raju Moon,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230006,Dr.Newton Fadanwis,Neurologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230007,Dr.Narendra Einstein,General Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230008,Dr.Amol Gandhi,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230009,Dr.Pratik Jadhav,Cardiology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230011,Dr. Prajyot Taur,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
