Id,Name,Disease,Password
21300001,Ruturaj Malode,Eye Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300002,Nikhil Virkar,Diabeates,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300003,Mohit Urkunde,Sugur Patient,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300004,Savrav Satpute,Heart Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300005,Vipul Rathod,Tooth Poblem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300006,Amol Kadam,Skin Infection,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300007,Hitesh Thakur,Fever & cold,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300008,Rajesh Joshi,Vomiting and weakness,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300009,Varad Shinde,Ear Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300010,Kabir Sodi,Bone Fracture,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300011,Nitish Pandey,Kidney problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300012,Ganesh Deshmukh,Heart Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300013,Mohan Tripathi,Tooth Poblem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300014,Akshay Patil,Tooth Poblem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300015,Krishnappa Ayyar,Heart Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300016,Rao Bahadur,Bone Fracture,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300017,Nitin Kumar,Diabeates,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300018,Govind Deshpande,Skin Infection,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
21300019,Vallabh Panghate,Ear Problem,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
